ID	name	C	H	O	N	P	cas	experimental_enthalpy
0	_1-3-5-Tricyanobenzene	9	3	0	3	0		121.8
1	p-Nitroaniline	6	6	2	2	0	100-01-6	13.2
2	Phenol--4-nitro-	6	5	3	1	0	100-02-7	-27.41
3	_1-Tert-butoxybutane	8	18	1	0	0	1000-63-1	-86.28
4	Benzoic-acid--4-methoxy-	8	8	3	0	0	100-09-4	-108
5	Benzenamine--N-N-dimethyl-4-nitro-	8	10	2	2	0	100-23-2	15
6	Nitrous-oxide	0	0	1	2	0	10024-97-2	19.61
7	_8-Aminocaprylic-acid	8	17	2	1	0	1002-57-9	-125
8	Cyclopentanamine	5	11	0	1	0	1003-03-8	-13.11
9	Bicyclo-3-3-1-nonan-3-one	9	14	1	0	0	10036-09-6	-60.8
10	Cyclohexene--4-ethenyl-	8	12	0	0	0	100-40-3	16.62
11	Ethylbenzene	8	10	0	0	0	100-41-4	7.12
12	Styrene	8	8	0	0	0	100-42-5	35.11
13	Benzylamine	7	9	0	1	0	100-46-9	20.98
14	Benzonitrile	7	5	0	1	0	100-47-0	52.34
15	_4-Pyridinecarbonitrile	6	4	0	2	0	100-48-1	67.76
16	Benzyl-alcohol	7	8	1	0	0	100-51-6	-22.6
17	Benzaldehyde	7	6	1	0	0	100-52-7	-8.8
18	_3-Pyridinecarbonitrile	6	4	0	2	0	100-54-9	66.42
19	Bullvalene	10	10	0	0	0	1005-51-2	79.85
20	Aniline--N-methyl-	7	9	0	1	0	100-61-8	20.1
21	Hydrazine--phenyl-	6	8	0	2	0	100-63-0	48.49
22	Cyclohexanone--oxime	6	11	1	1	0	100-64-1	-17.9
23	Benzene--methoxy-	7	8	1	0	0	100-66-3	-16.24
24	Isoxazole--3-phenyl-	9	7	1	1	0	1006-65-1	33.3
25	_2-Pyridinecarbonitrile	6	4	0	2	0	100-70-9	67.09
26	Piperidine--1-nitroso-	5	10	1	2	0	100-75-4	4
27	Quinuclidine	7	13	0	1	0	100-76-5	-1.03
28	Isoxazole--5-methyl-3-phenyl-	10	9	1	1	0	1008-74-8	23.6
29	Isoxazole--3-methyl-5-phenyl-	10	9	1	1	0	1008-75-9	24.5
30	Hexamethylenetetramine	6	12	0	4	0	100-97-0	47.6
31	Amyl-t-butyl-ether	9	20	1	0	0	10100-95-5	-91
32	Dinitrogen-pentoxide	0	0	5	2	0	10102-03-1	2.701
33	Cyclohexanone--2-cyclohexylidene-	12	18	1	0	0	1011-12-7	-51.09
34	Phenanthrene--1-2-3-4-tetrahydro-	14	14	0	0	0	1013-08-7	22.07
35	Phenol--4--phenylmethyl--	13	12	1	0	0	101-53-1	15.18
36	Benzene--1-1--methylenebis-4-isocyanato-	15	10	2	2	0	101-68-8	45.1
37	Bicyclo-2-2-2-oct-5-ene-2-2-3-3-tetracarbonitrile	12	8	0	4	0	1017-93-2	164.3
38	_1-2-Benzenediol--3-5-bis-1-1-dimethylethyl--	14	22	2	0	0	1020-31-1	-112.5
39	Diphenyl-carbonate	13	10	3	0	0	102-09-0	-74.4
40	Norbornan-7-one	7	10	1	0	0	10218-02-7	-32
41	_1-2-4-Trimethyl-5-isopropylbenzene	12	18	0	0	0	10222-95-4	-24.7
42	Benzenamine--N-ethyl-3-methyl-	9	13	0	1	0	102-27-2	7.29
43	Butanoic-acid--3-3-dimethyl---methyl-ester	7	14	2	0	0	10250-48-3	-122.3
44	_1-Propanamine--N-N-dipropyl-	9	21	0	1	0	102-69-2	-38.4
45	Triethanolamine	6	15	3	1	0	102-71-6	-133.4
46	N-Phenylglycine	8	9	2	1	0	103-01-5	-64.22
47	Bibenzyl	14	14	0	0	0	103-29-7	32.41
48	c_-E--Stilbene	14	12	0	0	0	103-30-0	52.49
49	c_-E--2-Butenoic-acid-propyl-ester	7	12	2	0	0	10352-87-1	-94.4
50	_1-1-1-Ethanetricarbonitrile	5	3	0	3	0	10359-20-3	100.97
51	Benzene--propyl-	9	12	0	0	0	103-65-1	1.87
52	Benzenamine--N-ethyl-	8	11	0	1	0	103-69-5	13.4
53	Benzene--isocyanato-	7	5	1	1	0	103-71-9	-3.48
54	Benzene--ethoxy-	8	10	1	0	0	103-73-1	-24.28
55	Benzyl-methyl-ketone	9	10	1	0	0	103-79-7	-22.62
56	_1-Buten-3-yn-2-ol	4	4	1	0	0	103905-52-8	20
57	_1-2-Diaminopropane	3	10	0	2	0	10424-38-1	-12.83
58	Oxazole--2-ethyl-4-5-dihydro-	5	9	1	1	0	10431-98-8	-35.59
59	Benzene--butyl-	10	14	0	0	0	104-51-8	-3.06
60	_1-Hexanol--2-ethyl-	8	18	1	0	0	104-76-7	-87.83
61	Pyridine--5-ethyl-2-methyl-	8	11	0	1	0	104-90-5	8.34
62	Quinoline--5-6-7-8-tetrahydro-	9	11	0	1	0	10500-57-9	16.96
63	_3--2-Propylidene--1-cyclopentene	8	12	0	0	0	10514-79-1	11.8
64	Acetic-acid--cyano---methyl-ester	4	5	2	1	0	105-34-0	-58.15
65	Propanoic-acid--ethyl-ester	5	10	2	0	0	105-37-3	-111.5
66	Dinitrogen-tetroxide	0	0	4	2	0	10544-72-6	2.17
67	Dinitrogen-trioxide	0	0	3	2	0	10544-73-7	19.8
68	_9-9--Bianthracene	28	18	0	0	0	1055-23-8	114
69	Propanedioic-acid--diethyl-ester	7	12	4	0	0	105-53-3	-190.1
70	Butanoic-acid--ethyl-ester	6	12	2	0	0	105-54-4	-115.9
71	c_-Z--2-5-Dimethyl-3-hexene	8	16	0	0	0	10557-44-5	-26.6
72	Ethane--1-1-diethoxy-	6	14	2	0	0	105-57-7	-108.41
73	Carbonic-acid--diethyl-ester	5	10	3	0	0	105-58-8	-152.5
74	Caprolactam	6	11	1	1	0	105-60-2	-57.27
75	Bicyclo-3-2-0-hept-1-5--ene	7	10	0	0	0	10563-10-7	41.4
76	Bicyclo-4-2-0-oct-1-6--ene	8	12	0	0	0	10563-11-8	23
77	Phenol--2-4-dimethyl-	8	10	1	0	0	105-67-9	-38.95
78	Pentanoic-acid--2-methylpropyl-ester	9	18	2	0	0	10588-10-0	-135.9
79	Heptanoic-acid--ethyl-ester	9	18	2	0	0	106-30-9	-131
80	Octanoic-acid--ethyl-ester	10	20	2	0	0	106-32-1	-136.2
81	p-Xylene	8	10	0	0	0	106-42-3	4.29
82	Phenol--4-methyl-	7	8	1	0	0	106-44-5	-29.94
83	p-Toluidine	7	9	0	1	0	106-49-0	9.99
84	Bicyclo-2-2-2-oct-2-ene--5--1-methylethyl-----1--945--4--945--5--946---	11	18	0	0	0	106562-31-6	-12.4
85	Bicyclo-2-2-2-oct-2-ene--5-ethyl----1--945--4--945--5--946---	10	16	0	0	0	106623-85-2	-5.4
86	Bicyclo-2-2-2-oct-2-ene--5-ethyl----1--945--4--945--5--945---	10	16	0	0	0	106623-86-3	-7.2
87	Bicyclo-2-2-2-oct-2-ene-5--1-methylethyl----1--945--4--945--5--945---	11	18	0	0	0	106623-87-4	-12.1
88	_3-Octanone	8	16	1	0	0	106-68-3	-80.93
89	Hexanoic-acid--methyl-ester	7	14	2	0	0	106-70-7	-118
90	Pentane--3-ethyl-3-methyl-	8	18	0	0	0	1067-08-9	-51.38
91	Heptanoic-acid--methyl-ester	8	16	2	0	0	106-73-0	-123.5
92	Pentane--3-ethyl-2-4-dimethyl-	9	20	0	0	0	1068-87-7	-54.35
